,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
80,54300,54400,53900,54300,54200,61200,55000,56400,57600,57300,58500,57900,58900,58600,60300,59000,60900,61800,63500,70200,73982,77125,80730,82969,85538,86593,90007,93150,95122,96322,96000,98826,102136,103036,102481,97237,91157,81591,91498,126970,126947,121847,117548,117695,119192,121930,123013,123397,127093,131885,135438,137073,135686,138252,145013,148374,152568,157065,158350,155661
81,47000,47200,46800,47500,47600,46600,56000,47900,49500,50500,50500,51500,50600,51600,51400,52800,52000,53300,54300,55900,62685,65426,68170,71719,73601,75973,77047,80212,83357,84885,86419,86460,89293,91604,93184,92547,87881,82863,74417,84821,116052,116146,111865,108018,108627,110367,113320,114524,114936,118886,123733,127378,129033,128138,130225,136877,140113,143896,148761,148832
82,40400,40200,40000,40600,41300,40600,40600,52100,41500,42900,44100,43900,44700,43900,44700,44400,46100,45400,46400,47400,49088,54643,57244,59852,63038,64628,67174,68171,71311,73765,75507,77037,77191,79598,82025,83278,83151,79316,74643,67263,78615,104892,105378,101965,98925,99712,101577,104481,105755,106689,110662,115420,118670,120922,119702,122069,128259,131207,135371,138619
83,34600,34000,33200,33900,34700,34700,34800,34200,48000,35600,37000,37900,37400,38400,37300,38200,38100,39700,38900,39900,40390,42392,47116,49723,51892,54758,56380,58822,59767,62126,64871,66613,68232,68242,70509,72586,73897,74147,70514,66522,60454,71367,94015,94801,92381,89958,90974,92902,95885,97404,98416,102320,106712,110308,111789,111164,113427,119193,122422,125204
84,28800,28300,27900,27800,28500,29100,29600,28600,28400,43800,30400,31400,32100,31500,32400,31100,32300,32300,33800,33100,33891,34627,36184,40355,42639,44446,47340,48750,50960,51510,53842,56529,58254,59377,59740,61682,63832,65143,65261,61979,59199,53849,64322,83249,84541,83284,81297,82478,84036,87457,88954,89814,93454,98281,101110,102861,102221,104143,110254,111986
85,23982,23923,23461,24002,24298,23950,24168,23798,23911,23856,25778,25915,26273,26829,26841,27109,27513,27989,28016,28571,28477,29026,29749,31413,34225,36546,38596,40620,42501,43472,44668,46781,49420,50495,51882,52731,54293,56312,57255,57178,55580,52519,49918,56420,70498,77231,76500,74983,75244,77244,79565,81592,82978,86932,90397,93889,95841,96707,99822,102753
86,18987,19233,18894,19162,19401,19399,19740,19400,19439,19376,21044,21146,21171,21712,22029,22164,22188,22623,23024,23431,23103,23553,24075,24763,26308,28501,30651,32289,34083,35296,36357,37947,40173,41591,43261,43993,45035,46888,48328,49289,49426,48177,45243,43654,50006,61609,67689,67051,65882,66592,68672,71224,72524,74843,77394,81355,84222,85483,87275,88488
87,14425,14865,14839,15141,15204,15138,15667,15529,15556,15520,16824,17005,16990,17205,17543,17907,17868,17915,18292,18936,18619,18814,19219,19719,20465,21632,23585,25284,26705,27899,29042,30371,32102,33331,35098,36140,37007,38296,39685,41046,42079,42292,40943,39025,38045,43022,53220,58510,58103,57472,58401,60608,62450,64554,65711,68727,71977,73991,76073,76244
88,10710,11113,11286,11697,11831,11662,12016,12083,12210,12214,13272,13370,13402,13562,13679,13987,14170,14237,14271,14798,14841,14943,15115,15511,16048,16579,17650,19194,20601,21547,22610,23863,25280,26172,27666,28868,29908,30952,31844,33153,34521,35417,35348,34785,33537,32280,36633,45295,49948,49958,49618,50747,52365,54723,55778,57405,59838,62267,64812,65358
89,7787,8111,8283,8689,8947,8899,9066,9079,9326,9415,10260,10367,10377,10519,10566,10659,10863,11137,11153,11366,11428,11712,11813,12033,12398,12708,13271,14125,15372,16373,17200,18277,19526,20234,21337,22344,23470,24584,25245,26108,27377,28494,29044,29532,29403,27953,27008,30588,38016,42270,42398,42382,43053,45079,46510,47857,49085,50840,53512,54633
